Timestamp,Emotion

2025-07-03 13:44:01,fear
2025-07-03 13:44:02,neutral
2025-07-03 13:44:02,happy
2025-07-03 13:44:02,neutral
2025-07-03 13:44:02,happy
2025-07-03 13:44:02,sad
2025-07-03 13:44:03,neutral
2025-07-03 13:44:03,neutral
2025-07-03 13:44:03,neutral
2025-07-03 13:44:03,neutral
2025-07-03 13:44:04,neutral
2025-07-03 13:44:04,neutral
2025-07-03 13:44:04,neutral
2025-07-03 13:44:04,angry
2025-07-03 13:44:04,sad
2025-07-03 13:44:05,angry
2025-07-03 13:44:05,sad
2025-07-03 13:44:05,sad
2025-07-03 13:44:05,sad
2025-07-03 13:44:05,sad
2025-07-03 13:44:06,angry
2025-07-03 13:44:06,neutral
2025-07-03 13:44:06,surprise
2025-07-03 13:44:06,angry
2025-07-03 13:44:07,neutral
2025-07-03 13:44:07,neutral
2025-07-03 13:44:07,happy
2025-07-03 13:44:07,surprise
2025-07-03 13:44:08,happy
2025-07-03 13:44:08,happy
2025-07-03 13:44:08,neutral
2025-07-03 13:44:08,happy
2025-07-03 13:44:08,happy
2025-07-03 13:44:08,happy
2025-07-03 13:44:09,happy
2025-07-03 13:44:09,happy
2025-07-03 13:44:09,happy
2025-07-03 13:44:09,happy
2025-07-03 13:44:09,happy
2025-07-03 13:44:09,happy
2025-07-03 13:44:09,happy
2025-07-03 13:44:10,happy
2025-07-03 13:44:10,happy
2025-07-03 13:44:10,happy
2025-07-03 13:44:10,happy
2025-07-03 13:44:10,neutral
2025-07-03 13:44:10,happy
2025-07-03 13:44:11,neutral
2025-07-03 13:44:11,neutral
2025-07-03 13:44:11,neutral
2025-07-03 13:44:11,neutral
2025-07-03 13:44:12,happy
2025-07-03 13:44:12,neutral
2025-07-03 13:44:12,neutral
2025-07-03 13:44:12,neutral
2025-07-03 13:44:13,neutral
2025-07-03 13:44:13,neutral
2025-07-03 13:44:13,neutral
2025-07-03 13:44:13,neutral
2025-07-03 13:44:14,surprise
2025-07-03 13:44:14,surprise
2025-07-03 13:44:14,neutral
2025-07-03 13:44:14,neutral
2025-07-03 13:44:15,neutral
2025-07-03 13:44:15,neutral
2025-07-03 13:44:15,neutral
2025-07-03 13:44:15,neutral
2025-07-03 13:44:15,neutral
2025-07-03 13:44:16,neutral
2025-07-03 13:44:16,neutral
2025-07-03 13:44:16,angry
2025-07-03 13:44:16,angry
2025-07-03 13:44:16,angry
2025-07-03 13:44:17,neutral
2025-07-03 13:44:17,happy
2025-07-03 13:44:17,sad
2025-07-03 13:44:17,neutral
2025-07-03 13:44:18,angry
2025-07-03 13:44:18,sad
2025-07-03 13:44:18,sad
2025-07-03 13:44:18,angry
2025-07-03 13:44:18,angry
2025-07-03 13:44:19,neutral
2025-07-03 13:44:19,angry
2025-07-03 13:44:19,angry
2025-07-03 13:44:19,angry
2025-07-03 13:44:19,neutral
2025-07-03 13:44:19,angry
2025-07-03 13:44:20,angry
2025-07-03 13:44:20,happy
2025-07-03 13:44:20,happy
2025-07-03 13:44:20,happy
2025-07-03 13:44:20,happy
2025-07-03 13:44:21,happy
2025-07-03 13:44:21,happy
2025-07-03 13:44:21,happy
2025-07-03 13:44:21,happy
2025-07-03 13:44:21,happy
2025-07-03 13:44:21,happy
2025-07-03 13:44:21,fear
2025-07-03 13:44:22,neutral
2025-07-03 13:44:22,fear
2025-07-03 13:44:22,fear
2025-07-03 13:44:22,fear
2025-07-03 13:44:22,neutral
2025-07-03 13:44:22,fear
2025-07-03 13:44:22,fear
2025-07-03 13:44:22,fear
2025-07-03 13:44:23,fear
2025-07-03 13:44:23,fear
2025-07-03 13:44:23,fear
2025-07-03 13:44:23,fear
2025-07-03 13:44:23,fear
2025-07-03 13:44:23,fear
2025-07-03 13:44:23,fear
2025-07-03 13:44:23,fear
2025-07-03 13:44:24,fear
2025-07-03 13:44:24,fear
2025-07-03 13:44:24,fear
2025-07-03 13:44:24,neutral
2025-07-03 13:44:24,neutral
2025-07-03 13:44:24,fear
2025-07-03 13:44:24,neutral
2025-07-03 13:44:24,fear
2025-07-03 13:44:25,fear
2025-07-03 13:44:25,fear
2025-07-03 13:44:25,fear
2025-07-03 13:44:25,fear
2025-07-03 13:44:25,fear
2025-07-03 13:44:25,fear
2025-07-03 13:44:25,fear
2025-07-03 13:44:25,neutral
2025-07-03 13:44:26,neutral
2025-07-03 13:44:26,happy
2025-07-03 13:44:26,happy
2025-07-03 13:44:26,happy
2025-07-03 13:44:26,happy
2025-07-03 13:44:26,happy
2025-07-03 13:44:26,happy
2025-07-03 13:44:26,happy
2025-07-03 13:44:27,happy
2025-07-03 13:44:27,happy
2025-07-03 13:44:27,happy
2025-07-03 13:44:27,happy
2025-07-03 13:44:27,happy
2025-07-03 13:44:27,happy
2025-07-03 13:44:27,happy
2025-07-03 13:44:27,happy
2025-07-03 13:44:28,happy
2025-07-03 13:44:28,happy
2025-07-03 13:44:28,happy
2025-07-03 13:44:28,happy
2025-07-03 13:44:28,happy
2025-07-03 13:44:28,happy
2025-07-03 13:44:28,happy
2025-07-03 13:44:28,happy
2025-07-03 13:44:29,happy
2025-07-03 13:44:29,happy
2025-07-03 13:44:29,happy
2025-07-03 13:44:29,happy
2025-07-03 13:44:29,happy
2025-07-03 13:44:29,happy
2025-07-03 13:44:29,happy
2025-07-03 13:44:29,happy
2025-07-03 13:44:30,happy
2025-07-03 13:44:30,happy
2025-07-03 13:44:30,happy
2025-07-03 13:44:30,happy
2025-07-03 13:44:30,happy
2025-07-03 13:59:37,happy
2025-07-03 13:59:37,happy
2025-07-03 13:59:38,angry
2025-07-03 13:59:38,angry
2025-07-03 13:59:38,angry
2025-07-03 13:59:38,angry
2025-07-03 13:59:38,neutral
2025-07-03 13:59:38,neutral
2025-07-03 13:59:38,neutral
2025-07-03 13:59:38,neutral
2025-07-03 13:59:38,neutral
2025-07-03 13:59:38,neutral
2025-07-03 13:59:38,happy
2025-07-03 13:59:38,happy
2025-07-03 13:59:38,angry
2025-07-03 13:59:38,angry
2025-07-03 13:59:38,neutral
2025-07-03 13:59:38,neutral
2025-07-03 13:59:39,neutral
2025-07-03 13:59:39,neutral
2025-07-03 13:59:39,neutral
2025-07-03 13:59:39,neutral
2025-07-03 13:59:39,neutral
2025-07-03 13:59:39,neutral
2025-07-03 13:59:39,fear
2025-07-03 13:59:39,fear
2025-07-03 13:59:39,happy
2025-07-03 13:59:39,happy
2025-07-03 13:59:39,happy
2025-07-03 13:59:39,happy
2025-07-03 13:59:39,neutral
2025-07-03 13:59:39,neutral
2025-07-03 13:59:40,neutral
2025-07-03 13:59:40,neutral
2025-07-03 13:59:40,happy
2025-07-03 13:59:40,happy
2025-07-03 13:59:40,surprise
2025-07-03 13:59:40,surprise
2025-07-03 13:59:40,happy
2025-07-03 13:59:40,happy
2025-07-03 13:59:40,happy
2025-07-03 13:59:40,happy
2025-07-03 13:59:40,sad
2025-07-03 13:59:40,sad
2025-07-03 13:59:40,happy
2025-07-03 13:59:40,happy
2025-07-03 13:59:41,happy
2025-07-03 13:59:41,happy
2025-07-03 13:59:41,happy
2025-07-03 13:59:41,happy
2025-07-03 13:59:41,fear
2025-07-03 13:59:41,fear
2025-07-03 13:59:41,sad
2025-07-03 13:59:41,sad
2025-07-03 13:59:41,sad
2025-07-03 13:59:41,sad
2025-07-03 13:59:41,neutral
2025-07-03 13:59:41,neutral
2025-07-03 13:59:41,fear
2025-07-03 13:59:41,fear
2025-07-03 13:59:42,fear
2025-07-03 13:59:42,fear
2025-07-03 13:59:42,surprise
2025-07-03 13:59:42,surprise
2025-07-03 13:59:42,happy
2025-07-03 13:59:42,happy
2025-07-03 13:59:42,neutral
2025-07-03 13:59:42,neutral
2025-07-03 13:59:42,neutral
2025-07-03 13:59:42,neutral
2025-07-03 13:59:42,neutral
2025-07-03 13:59:42,neutral
2025-07-03 13:59:42,neutral
2025-07-03 13:59:42,neutral
2025-07-03 13:59:43,neutral
2025-07-03 13:59:43,neutral
2025-07-03 13:59:43,neutral
2025-07-03 13:59:43,neutral
2025-07-03 13:59:43,neutral
2025-07-03 13:59:43,neutral
2025-07-03 13:59:43,neutral
2025-07-03 13:59:43,neutral
2025-07-03 13:59:43,neutral
2025-07-03 13:59:43,neutral
2025-07-03 13:59:43,neutral
2025-07-03 13:59:43,neutral
2025-07-03 13:59:43,neutral
2025-07-03 13:59:43,neutral
2025-07-03 13:59:43,neutral
2025-07-03 13:59:43,neutral
2025-07-03 13:59:44,neutral
2025-07-03 13:59:44,neutral
2025-07-03 13:59:44,neutral
2025-07-03 13:59:44,neutral
2025-07-03 13:59:44,fear
2025-07-03 13:59:44,fear
2025-07-03 13:59:44,fear
2025-07-03 13:59:44,fear
2025-07-03 13:59:44,fear
2025-07-03 13:59:44,fear
2025-07-03 13:59:44,fear
2025-07-03 13:59:44,fear
2025-07-03 13:59:45,fear
2025-07-03 13:59:45,fear
2025-07-03 13:59:45,fear
2025-07-03 13:59:45,fear
2025-07-03 13:59:45,surprise
2025-07-03 13:59:45,surprise
2025-07-03 13:59:46,surprise
2025-07-03 13:59:46,surprise
2025-07-03 13:59:46,surprise
2025-07-03 13:59:46,surprise
2025-07-03 13:59:46,surprise
2025-07-03 13:59:46,surprise
2025-07-03 13:59:47,surprise
2025-07-03 13:59:47,surprise
2025-07-03 13:59:47,happy
2025-07-03 13:59:47,happy
2025-07-03 13:59:47,happy
2025-07-03 13:59:47,happy
2025-07-03 13:59:47,happy
2025-07-03 13:59:47,happy
2025-07-03 13:59:48,happy
2025-07-03 13:59:48,happy
2025-07-03 13:59:48,happy
2025-07-03 13:59:48,happy
2025-07-03 13:59:48,happy
2025-07-03 13:59:48,happy
2025-07-03 13:59:48,happy
2025-07-03 13:59:48,happy
2025-07-03 13:59:48,happy
2025-07-03 13:59:48,happy
2025-07-03 13:59:49,happy
2025-07-03 13:59:49,happy
2025-07-03 13:59:49,happy
2025-07-03 13:59:49,happy
2025-07-03 13:59:49,happy
2025-07-03 13:59:49,happy
2025-07-03 13:59:49,happy
2025-07-03 13:59:49,happy
2025-07-03 13:59:49,neutral
2025-07-03 13:59:49,neutral
2025-07-03 13:59:49,neutral
2025-07-03 13:59:49,neutral
2025-07-03 13:59:50,neutral
2025-07-03 13:59:50,neutral
2025-07-03 13:59:50,neutral
2025-07-03 13:59:50,neutral
2025-07-03 13:59:50,neutral
2025-07-03 13:59:50,neutral
2025-07-03 13:59:51,happy
2025-07-03 13:59:51,happy
2025-07-03 13:59:51,happy
2025-07-03 13:59:51,happy
2025-07-03 13:59:51,neutral
2025-07-03 13:59:51,neutral
2025-07-03 13:59:51,happy
2025-07-03 13:59:51,happy
2025-07-03 13:59:52,happy
2025-07-03 13:59:52,happy
2025-07-03 13:59:52,happy
2025-07-03 13:59:52,happy
2025-07-03 13:59:52,happy
2025-07-03 13:59:52,happy
2025-07-03 13:59:52,happy
2025-07-03 13:59:52,happy
2025-07-03 13:59:53,neutral
2025-07-03 13:59:53,neutral
2025-07-03 13:59:53,happy
2025-07-03 13:59:53,happy
2025-07-03 13:59:53,neutral
2025-07-03 13:59:53,neutral
2025-07-03 13:59:54,neutral
2025-07-03 13:59:54,neutral
2025-07-03 13:59:54,neutral
2025-07-03 13:59:54,neutral
2025-07-03 13:59:54,neutral
